City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
462,Bhum,18.4667,75.6667,70.68,84,14,10.87,IN,2021-12-03 17:16:13
463,Kerouane,9.2667,-9.0167,91.6,25,66,5.99,GN,2021-12-03 17:16:14
464,Novaya Ladoga,60.1025,32.3019,21.0,94,100,13.82,RU,2021-12-03 17:16:14
465,Bathsheba,13.2167,-59.5167,86.61,66,40,17.27,BB,2021-12-03 17:16:14
466,Polyarnyy,69.1989,33.4478,5.47,94,100,2.8,RU,2021-12-03 17:16:15
467,Druzhba,52.0428,33.9453,32.09,98,100,11.3,UA,2021-12-03 17:16:15
468,Sorong,-0.8833,131.25,80.28,75,100,1.34,ID,2021-12-03 17:16:15
469,Sao Paulo De Olivenca,-3.3783,-68.8725,85.21,73,98,2.51,BR,2021-12-03 17:16:16
470,Kumluca,36.3703,30.2869,56.68,73,100,3.58,TR,2021-12-03 17:16:16
471,Jatai,-17.8814,-51.7144,85.82,54,49,2.28,BR,2021-12-03 17:16:16
472,Kaohsiung,22.6163,120.3133,62.04,69,84,3.0,TW,2021-12-03 17:13:41
473,San Patricio,28.017,-97.5169,78.93,67,89,7.72,US,2021-12-03 17:16:17
474,Puerto Escondido,15.85,-97.0667,86.83,70,1,9.22,MX,2021-12-03 17:15:09
475,Russell,32.3502,-85.1999,73.99,55,40,2.3,US,2021-12-03 17:16:17
476,Sitka,57.0531,-135.33,30.09,86,75,10.36,US,2021-12-03 17:16:17
477,Cravo Norte,6.3017,-70.2041,89.94,48,62,8.34,CO,2021-12-03 17:16:18
478,Harper,4.375,-7.7169,82.71,75,97,10.29,LR,2021-12-03 17:16:18
479,Henties Bay,-22.116,14.2845,64.85,79,9,9.93,NA,2021-12-03 17:16:18
480,Linhai,28.85,121.1167,43.93,61,71,3.0,CN,2021-12-03 17:14:22
481,Broome,42.2506,-75.833,38.17,71,90,7.0,US,2021-12-03 17:16:19
482,Penjamo,20.4333,-101.7333,66.07,34,55,4.29,MX,2021-12-03 17:16:19
483,Dera Ghazi Khan,30.0561,70.6348,64.51,24,48,2.3,PK,2021-12-03 17:16:19
484,Key Largo,25.0865,-80.4473,80.01,46,43,8.08,US,2021-12-03 17:14:13
485,Mayo,38.8876,-76.5119,54.95,47,20,8.99,US,2021-12-03 17:16:20
486,Otane,-39.8833,176.6333,64.0,94,100,2.73,NZ,2021-12-03 17:16:20
487,Grindavik,63.8424,-22.4338,30.67,93,40,13.8,IS,2021-12-03 17:16:20
488,Taloqan,36.7361,69.5345,54.81,19,100,3.49,AF,2021-12-03 17:16:21
489,Centralia,46.7162,-122.9543,40.3,80,20,3.44,US,2021-12-03 17:11:54
490,Gat,31.61,34.7642,63.81,57,100,5.7,IL,2021-12-03 17:16:21
